Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
aten::_masked_scale;0,01%;828,000;0,02%;1651;55,033;25149;0,53%;25149;838,300;0;0;6320000000;0;30;0
MmBackward;0,01%;791,000;0,12%;8459;234,972;0,000;0,00%;388186;10783;0;0;11660000000;0;36;0
aten::expand;0,01%;688,000;0,01%;784,000;16,333;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::div;0,01%;687,000;0,02%;1204;66,889;1209;0,03%;1209;67,167;0;0;467200000;0;18;0
torch::autograd::AccumulateGrad;0,01%;627,000;0,05%;3414;33,471;0,000;0,00%;240,000;2,353;0;0;0;0;102;0
aten::native_batch_norm_backward;0,01%;494,000;0,02%;1395;116,250;1249000;26,56%;1249000;104085;0;0;5810000000;0;12;0
aten::leaky_relu_backward;0,01%;447,000;0,01%;792,000;44,000;2646;0,06%;2646;147,000;0;0;515360000;0;18;0
aten::rand;0,01%;419,000;0,05%;3928;654,667;0,000;0,00%;0,000;0,000;2080000;0;0;0;6;0
aten::squeeze;0,01%;415,000;0,01%;506,000;14,056;0,000;0,00%;0,000;0,000;0;0;0;0;36;0
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...;0,01%;413,000;0,01%;413,000;1,765;0,000;0,00%;0,000;0,000;0;0;0;0;234;0
aten::ones_like;0,01%;397,000;0,02%;1549;258,167;0,000;0,00%;1,000;0,167;0;0;3000;0;6;0
aten::threshold_backward;0,00%;327,000;0,01%;573,000;47,750;30386;0,65%;30386;2532;0;0;5810000000;0;12;0
aten::nll_loss_backward;0,00%;277,000;0,01%;461,000;76,833;110,000;0,00%;110,000;18,333;0;0;41630000;41630000;6;0'
